Fluid R600a
Model Embraco EGAS100CLP
13.53 cm3 and 60 Hz
Liquid line and suction line at 32.2 ºC
https://productsapi.embraco.com/datasheet/compressor/EGAS100CLP/513701421/?kit_number=1&standard=ASHRAE&test_application=LBP&refrigerant=R-600a&compressor_speed=3600&unit_system=w&measurement_system=metric

Evaporating Temperature [C],Condensing Temperature [C],Cooling Capacity [W],Power [W],Current [A],Gas Flow Rate [kg/h],Efficiency [W/W]
-35,35,167,125,1.21,1.79,1.33
-30,35,218,142,1.23,2.34,1.53
-25,35,282,160,1.27,3.03,1.76
-20,35,362,179,1.32,3.89,2.02
-15,35,457,198,1.38,4.93,2.31
-10,35,570,215,1.45,6.16,2.65
-35,45,165,134,1.22,1.77,1.23
-30,45,216,154,1.25,2.32,1.41
-25,45,280,175,1.30,3.01,1.60
-20,45,359,199,1.36,3.86,1.80
-15,45,452,223,1.44,4.87,2.03
-10,45,561,247,1.52,6.06,2.27
-30,55,208,160,1.27,2.24,1.30
-25,55,273,185,1.33,2.93,1.47
-20,55,350,213,1.41,3.77,1.64
-15,55,441,242,1.5,4.76,1.82
-10,55,548,272,1.61,5.92,2.01
