Fluid R134a
Model Bitzer ESH725(B)Y
25 m3/h @ 50 Hz
Zero subcooling
20ºC suction gas temperature except for Tcond = 50 ºC and Tevap <= - 10 ºC where 10 K superheat

Evaporating Temperature [C],Condensing Temperature [C],Cooling Capacity [W],Power [W]
-15,30,8420,2980
-10,30,10490,2990
-5,30,12920,3000
0,30,15760,3020
5,30,19060,3060
7.5,30,20955,3080
10,30,22850,3110
12.5,30,25100,3150
-15,40,7510,3710
-10,40,9390,3720
-5,40,11590,3740
0,40,14170,3770
5,40,17170,3800
7.5,40,18910,3810
10,40,20650,3830
12.5,40,22675,3840
-15,50,6590,4690
-10,50,8270,4650
-5,50,10240,4640
0,50,12550,4670
5,50,15230,4700
7.5,50,16790,4750
10,50,18350,4730
12.5,50,20150,4730
